prognosis,DiseaseDescription
Malaria,"Malaria is a mosquito-borne infectious disease that affects humans and other animals. Malaria causes symptoms that typically include fever, tiredness, vomiting, and headaches."
Chicken pox,"Chickenpox is a very contagious infection caused by the varicella-zoster virus. It mainly affects kids, but adults can get it, too. The telltale sign of chickenpox is a super-itchy skin rash with red blisters. Over the course of several days, the blisters pop and start to leak."
Dengue,"Dengue fever is a mosquito-borne tropical disease caused by the dengue virus. Symptoms typically begin three to fourteen days after infection. These may include a high fever, headache, vomiting, muscle and joint pains, and a characteristic skin rash. Recovery generally takes two to seven days."
Typhoid,Typhoid fever is a life-threatening illness caused by Salmonella Typhi bacteria. Paratyphoid fever is a life-threatening illness caused by Salmonella Paratyphi bacteria.
hepatitis A, A is a viral liver disease that can cause mild to severe illness. The hepatitis A virus (HAV) is transmitted through ingestion of contaminated food and water or through direct contact with an infectious person. Almost everyone recovers fully from hepatitis A with a lifelong immunity.
Hepatitis B,"It is a viral infection that attacks the liver and can cause both acute and chronic disease. The virus is most commonly transmitted from mother to child during birth and delivery, as well as through contact with blood or other body fluids."
Hepatitis C,Hepatitis C is a liver infection that can lead to serious liver damage. 
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer."
Hepatitis E,Hepatitis E is a virus that infects your liver. It can cause your liver to swell up.
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use."
Tuberculosis,Tuberculosis (TB) is a potentially serious infectious disease that mainly affects your lungs. The bacteria that cause tuberculosis are spread from one person to another through tiny droplets released into the air via coughs and sneezes.
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli."
Dimorphic hemmorhoids(piles),Piles are collections of tissue and vein that become inflamed and swollen.
Heart attack,A heart attack is the death of a segment of heart muscle caused by a loss of blood supply. The blood is usually cut off when an artery supplying the heart muscle is blocked by a blood clot.
Varicose veins,"Varicose veins are twisted, enlarged veins. Any superficial vein may become varicosed, but the veins most commonly affected are those in your legs. "
Hypothyroidism,Hypothyroidism is a condition in which the thyroid gland is not able to produce enough thyroid hormone.
Hyperthyroidism,"Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
Hypoglycemia,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. 
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
(vertigo) Paroymsal  Positional Vertigo,Vertigo is the feeling that you're moving when you're not. Or it might feel like things around you are moving when they aren't. Vertigo can feel similar to motion sickness.
Acne,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It often causes whiteheads, blackheads or pimples, and usually appears on the face, forehead, chest, upper back and shoulders."
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of your urinary system — your kidneys, ureters, bladder and urethra."
Psoriasis,Psoriasis is a skin disorder that causes skin cells to multiply up to 10 times faster than normal. This makes the skin build up into bumpy red patches covered with white scales. 
Impetigo,"Impetigo is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. "
